定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
14:55,,マニラ,,着陸,S,14:55,0
14:55,,東京,,着陸,S,14:56,1
15:00,15:00,沖縄/那覇,,D11,S,15:05,0
15:00,15:00,東京,,D9,X,15:05,0
15:00,15:01,大阪,,D11,S,15:06,1
15:00,15:00,宮崎,,D82,X,15:08,0
15:00,,小松,,着陸,S,15:07,7
15:00,,宮崎,,着陸,S,15:08,8
15:00,,沖縄/那覇,,着陸,X,15:09,9
15:05,,名古屋/中部,,着陸,S,15:09,4
15:10,15:10,成田,,D4,X,15:15,0
15:10,15:10,東京,,D2,S,15:14,0
15:10,,東京,,着陸,S,15:15,5
15:15,,名古屋/中部,,着陸,X,15:16,1
15:20,,松山,,着陸,S,15:20,0
15:25,15:25,東京,,D7,X,15:29,0
15:30,15:30,マニラ,,I55,S,15:38,0
15:35,15:35,宮崎,,D10,X,15:40,0
15:35,,東京,,着陸,S,15:39,4
15:40,,東京,,着陸,S,15:40,0
15:45,,対馬,,着陸,X,15:45,0
15:50,15:50,大阪,,D11,S,15:55,0
15:50,15:50,沖縄/那覇,,D6,X,15:54,0
15:50,,東京,,着陸,X,15:55,5
15:55,15:55,対馬,,D81,S,16:02,0
15:55,15:55,名古屋/中部,,D1,X,16:00,0
15:55,15:57,東京,,D6,X,16:01,2
15:55,15:56,マニラ,,I53,X,16:02,1
15:55,,沖縄/那覇,,着陸,S,16:03,8
16:00,16:00,名古屋/中部,,D5,X,16:05,0
16:00,,信州松本,,着陸,S,16:04,4
16:00,,名古屋/中部,,着陸,S,16:05,5
16:05,,沖縄/那覇,,着陸,X,16:06,1
16:10,16:10,東京,,D8,S,16:14,0
16:10,,東京,,着陸,X,16:10,0
16:10,,いわて花巻,,着陸,X,16:11,1
16:15,16:15,大阪,,D81,X,16:23,0
16:15,,成田,,着陸,S,16:15,0
16:20,16:20,東京,,D9,S,16:24,0
16:20,16:20,東京,,D3,X,16:25,0
16:20,,大阪,,着陸,S,16:25,5
16:20,,沖縄/那覇,,着陸,X,16:26,6
16:25,,天草,,着陸,S,16:26,1
16:30,16:30,名古屋/小牧,,D2,X,16:35,0
16:30,16:30,仙台,,D82,S,16:37,0
16:35,,沖縄/那覇,,着陸,X,16:36,1
16:40,,宮崎,,着陸,X,16:40,0
16:45,16:45,沖縄/那覇,,D6,S,16:49,0
16:45,16:45,松山,,D11,X,16:50,0
16:45,,ソウル/仁川,,着陸,S,16:50,5
16:45,,札幌/新千歳,,着陸,S,16:51,6
16:50,,東京,,着陸,X,16:51,1
16:50,,鹿児島,,着陸,S,16:52,2
