定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
15:25,15:25.0,東京,,D7,16L,15:28.4,0
15:30,15:30.0,マニラ,,I55,16R,15:35.9,0
15:35,,東京,,着陸,16L,15:35.0,0
15:35,15:35.0,宮崎,,D10,16L,15:38.7,0
15:40,,東京,,着陸,16R,15:40.0,0
15:45,,対馬,,着陸,16L,15:45.0,0
15:50,,東京,,着陸,16R,15:50.0,0
15:50,15:50.0,大阪,,D11,16L,15:54.0,0
15:50,15:50.0,沖縄/那覇,,D6,16R,15:53.8,0
15:55,,沖縄/那覇,,着陸,16R,15:55.0,0
15:55,15:55.0,対馬,,D81,16L,16:1.3,0
15:55,15:55.0,名古屋/中部,,D1,16R,15:59.1,0
15:55,15:56.4,東京,,D6,16R,16:0.1,2
15:55,15:55.7,マニラ,,I53,16R,16:1.1,1
16:00,,信州松本,,着陸,16R,16:2.2,3
16:00,,名古屋/中部,,着陸,16L,16:2.4,3
16:00,16:00.0,名古屋/中部,,D5,16R,16:3.6,0
16:05,,沖縄/那覇,,着陸,16L,16:5.0,0
16:10,,東京,,着陸,16R,16:10.0,0
16:10,,いわて花巻,,着陸,16L,16:10.0,0
16:10,16:10.0,東京,,D8,16L,16:12.9,0
16:15,,成田,,着陸,16R,16:15.0,0
16:15,16:15.0,大阪,,D81,16L,16:21.3,0
16:20,,大阪,,着陸,16R,16:20.0,0
16:20,,沖縄/那覇,,着陸,16R,16:21.0,1
16:20,16:20.0,東京,,D9,16R,16:24.1,0
16:20,16:20.0,東京,,D3,16L,16:23.5,0
16:25,,天草,,着陸,16L,16:25.0,0
16:30,16:30.0,名古屋/小牧,,D2,16R,16:34.1,0
16:30,16:30.0,仙台,,D82,16L,16:36.4,0
16:35,,沖縄/那覇,,着陸,16R,16:35.2,1
16:40,,宮崎,,着陸,16R,16:40.0,0
16:45,,ソウル/仁川,,着陸,16L,16:45.0,0
16:45,,札幌/新千歳,,着陸,16R,16:45.0,0
16:45,16:45.0,沖縄/那覇,,D6,16L,16:48.1,0
16:45,16:45.0,松山,,D11,16R,16:49.6,0
16:50,,東京,,着陸,16L,16:50.0,0
16:50,,鹿児島,,着陸,16R,16:50.7,1
16:55,,仙台,,着陸,16L,16:55.0,0
16:55,16:55.0,天草,,D81,16R,17:1.9,0
16:55,16:55.0,沖縄/那覇,,D1,16L,16:58.5,0
16:55,16:56.2,東京,,D7,16L,16:59.5,2
17:00,,ソウル/仁川,,着陸,16L,17:0.6,1
17:00,,札幌/新千歳,,着陸,16L,17:1.6,2
17:00,,東京,,着陸,16L,17:2.6,3
17:00,,東京,,着陸,16R,17:3.0,3
17:00,17:00.0,福江,,D82,16L,17:6.4,0
17:00,17:00.0,成田,,D4,16R,17:4.3,0
17:00,17:01.2,沖縄/那覇,,D1,16R,17:5.3,2
17:05,,宮崎,,着陸,16R,17:6.4,2
17:05,17:05.0,東京,,D10,16R,17:9.3,0
17:10,,石垣,,着陸,16L,17:10.0,0
17:15,,関西,,着陸,16R,17:15.0,0
17:15,17:15.0,高知,,D12,16L,17:19.2,0
17:20,17:20.0,沖縄/那覇,,D5,16R,17:23.6,0
17:25,17:25.0,新潟,,D81,16L,17:31.3,0
17:30,17:30.0,東京,,D8,16R,17:33.6,0
17:30,17:30.0,出雲,,D81,16L,17:36.3,0
17:35,,対馬,,着陸,16R,17:35.0,0
17:35,17:35.0,ソウル/仁川,,I54,16R,17:40.7,0
17:40,,成田,,着陸,16L,17:40.0,0
17:40,17:40.0,小松,,D82,16L,17:46.4,0
17:40,17:40.0,東京,,D3,16R,17:44.2,0
17:45,,東京,,着陸,16R,17:45.3,1
17:45,,宮崎,,着陸,16R,17:46.3,2
17:45,17:45.0,大阪,,D11,16R,17:49.6,0
17:50,,沖縄/那覇,,着陸,16L,17:50.0,0
17:50,,東京,,着陸,16R,17:50.7,1
17:50,17:50.0,東京,,D9,16L,17:53.5,0
17:55,,東京,,着陸,16R,17:55.0,0
17:55,,小松,,着陸,16L,17:55.0,0
17:55,17:55.0,沖縄/那覇,,D1,16L,17:58.5,0
18:00,,台北/桃園,,着陸,34L,18:0.0,0
18:00,,名古屋/小松,,着陸,34L,18:1.0,1
18:00,,東京,,着陸,34L,18:2.0,2
18:00,,沖縄/那覇,,着陸,34R,18:2.6,3
18:00,18:00.0,関西,,D2,34L,18:12.2,0
18:00,18:00.0,東京,,D6,34R,18:11.1,0
18:00,18:03.7,ソウル/仁川,,I53,34R,18:12.1,4
18:05,,台北/桃園,,着陸,34R,18:13.2,9
18:10,,静岡,,着陸,34L,18:13.3,4
18:10,18:10.0,対馬,,D81,34R,18:17.1,0
18:15,,名古屋/中部,,着陸,34L,18:15.0,0
18:20,,東京,,着陸,34L,18:20.0,0
18:20,,仙台,,着陸,34R,18:20.0,0
18:25,,大阪,,着陸,34R,18:25.0,0
18:25,18:25.0,徳島,,D12,34L,18:34.9,0
18:25,18:25.0,宮崎,,D82,34R,18:31.9,0
18:30,,仙台,,着陸,34R,18:33.0,3
18:30,18:30.0,静岡,,D5,34R,18:41.3,0
18:30,18:30.0,名古屋/中部,,D11,34L,18:40.1,0
18:35,18:35.0,東京,,D10,34L,18:45.4,0
18:35,18:35.0,沖縄/那覇,,D7,34R,18:45.9,0
18:35,18:35.0,茨城,,D3,34L,18:47.0,0
18:40,,天草,,着陸,34R,18:47.0,7
18:40,,成田,,着陸,34R,18:48.0,8
18:40,18:40.0,名古屋/小牧,,D1,34L,18:52.3,0
18:40,18:40.0,成田,,D1,34R,18:51.9,0
18:40,18:41.5,成田,,D4,34R,18:52.9,2
18:50,,松山,,着陸,34L,18:53.4,4
18:55,,東京,,着陸,34R,18:55.0,0
18:55,18:55.0,大阪,,D6,34L,19:6.6,0
19:00,,福江,,着陸,34R,19:0.0,0
19:00,,成田,,着陸,34R,19:1.0,1
19:00,,東京,,着陸,34R,19:2.0,2
19:00,19:00.0,仙台,,D82,34R,19:6.9,0
19:00,19:00.0,東京,,D11,34L,19:10.1,0
19:00,,台北/桃園,,欠航,,,
19:05,19:05.0,東京,,D8,34R,19:15.7,0
19:10,,信州松本,,着陸,34L,19:11.2,2
19:10,19:10.0,天草,,D81,34L,19:17.5,0
19:10,19:10.0,大阪,,D6,34R,19:21.1,0
19:10,,台北/桃園,,欠航,,,
19:15,19:15.0,東京,,D9,34L,19:25.6,0
19:20,,高雄,,着陸,34R,19:22.2,3
19:20,,東京,,着陸,34R,19:23.2,4
19:20,19:20.0,宮崎,,D11,34R,19:29.7,0
19:20,19:20.0,成田,,D2,34L,19:32.2,0
19:25,,名古屋/中部,,着陸,34R,19:30.8,6
19:30,19:30.0,宮崎,,D82,34R,19:36.9,0
19:35,,沖縄/那覇,,着陸,34L,19:35.0,0
19:35,,札幌/新千歳,,着陸,34L,19:36.0,1
19:35,,静岡,,着陸,34L,19:37.0,2
19:40,,高知,,着陸,34R,19:40.0,0
19:40,,成田,,着陸,34L,19:40.0,0
19:40,19:40.0,成田,,D4,34R,19:51.5,0
19:50,,対馬,,着陸,34L,19:50.0,0
19:50,19:50.0,東京,,D10,34L,20:0.4,0
19:55,,東京,,着陸,34R,19:55.0,0
19:55,19:55.0,静岡,,D1,34R,20:6.9,0
20:00,,台北/桃園,,着陸,34L,20:1.5,2
20:00,,奄美大島,,着陸,34L,20:2.5,3
20:00,,名古屋/中部,,着陸,34L,20:3.5,4
20:00,20:00.0,東京,,D7,34L,20:11.4,0
20:00,20:00.0,東京,,D5,34R,20:11.3,0
20:05,,沖縄/那覇,,着陸,34R,20:12.4,8
20:05,20:05.0,名古屋/小牧,,D2,34L,20:17.2,0
20:10,20:10.0,宮崎,,D8,34R,20:20.7,0
20:10,20:10.0,名古屋/中部,,D11,34L,20:20.1,0
20:15,20:15.0,沖縄/那覇,,D11,34L,20:25.1,0
20:20,,出雲,,着陸,34R,20:21.8,2
20:20,20:20.0,成田,,D1,34R,20:31.9,0
20:20,,高雄,,欠航,,,
20:25,,名古屋/中部,,着陸,34L,20:26.2,2
20:25,,沖縄/那覇,,着陸,34L,20:27.2,3
20:25,,東京,,着陸,34L,20:28.2,4
20:25,20:25.0,成田,,D3,34L,20:37.0,0
20:30,,東京,,着陸,34R,20:33.0,3
20:30,,高崎,,着陸,34R,20:34.0,4
